"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2018-05-01T04:00:00.000Z","11,779","11,779","11,779","11,779","-2.04","-2.54",""
"2018-06-01T04:00:00.000Z","11,626","11,626","11,626","11,626","-1.30","-1.80",""
"2018-07-02T04:00:00.000Z","11,937","11,937","11,937","11,937","2.68","2.17",""
"2018-08-01T04:00:00.000Z","11,674","11,674","11,674","11,674","-2.20","-2.71",""
"2018-09-03T04:00:00.000Z","11,784","11,784","11,784","11,784","0.9423","0.4381",""
"2018-10-01T04:00:00.000Z","10,843","10,843","10,843","10,843","-7.99","-8.49",""
"2018-11-01T04:00:00.000Z","10,869","10,869","10,869","10,869","0.2398","-0.2644",""
"2018-12-03T05:00:00.000Z","10,319","10,319","10,319","10,319","-5.06","-5.56",""
"2019-01-02T05:00:00.000Z","10,990","10,990","10,990","10,990","6.50","6.00",""
"2019-02-01T05:00:00.000Z","11,246","11,246","11,246","11,246","2.33","1.83",""
"2019-03-01T05:00:00.000Z","11,343","11,343","11,343","11,343","0.8625","0.3583",""
"2019-04-01T04:00:00.000Z","11,688","11,688","11,688","11,688","3.04","2.54",""
"2019-05-01T04:00:00.000Z","11,096","11,096","11,096","11,096","-5.07","-5.57",""
"2019-06-03T04:00:00.000Z","11,758","11,758","11,758","11,758","5.97","5.46",""
"2019-07-01T04:00:00.000Z","11,511","11,511","11,511","11,511","-2.10","-2.60",""
"2019-08-01T04:00:00.000Z","11,290","11,290","11,290","11,290","-1.92","-2.42",""
"2019-09-03T04:00:00.000Z","11,626","11,626","11,626","11,626","2.98","2.47",""
"2019-10-01T04:00:00.000Z","12,023","12,023","12,023","12,023","3.41","2.91",""
"2019-11-01T04:00:00.000Z","12,173","12,173","12,173","12,173","1.25","0.7434",""
"2019-12-02T05:00:00.000Z","12,541","12,541","12,541","12,541","3.02","2.52",""
"2020-01-02T05:00:00.000Z","12,213","12,213","12,213","12,213","-2.62","-3.12",""
"2020-02-03T05:00:00.000Z","11,276","11,276","11,276","11,276","-7.67","-8.18",""
"2020-03-02T05:00:00.000Z","9,610.00","9,610.00","9,610.00","9,610.00","-14.77","-15.28",""
"2020-04-01T04:00:00.000Z","10,247","10,247","10,247","10,247","6.63","6.12",""
"2020-05-01T04:00:00.000Z","10,803","10,803","10,803","10,803","5.43","4.92",""
"2020-06-01T04:00:00.000Z","11,158","11,158","11,158","11,158","3.29","2.78",""
"2020-07-01T04:00:00.000Z","11,380","11,380","11,380","11,380","1.99","1.49",""
"2020-08-03T04:00:00.000Z","11,926","11,926","11,926","11,926","4.80","4.29",""
"2020-09-01T04:00:00.000Z","11,653","11,653","11,653","11,653","-2.29","-2.79",""
"2020-10-01T04:00:00.000Z","11,198","11,198","11,198","11,198","-3.90","-4.41",""
"2020-11-02T05:00:00.000Z","12,864","12,864","12,864","12,864","14.88","14.37",""
"2020-12-01T05:00:00.000Z","13,503","13,503","13,503","13,503","4.97","4.46",""
"2021-01-04T05:00:00.000Z","13,318","13,318","13,318","13,318","-1.37","-1.87",""
"2021-02-01T05:00:00.000Z","13,642","13,642","13,642","13,642","2.43","1.93",""
"2021-03-01T05:00:00.000Z","13,966","13,966","13,966","13,966","2.38","1.87",""
"2021-04-01T04:00:00.000Z","14,374","14,374","14,374","14,374","2.92","2.42",""
"2021-05-03T04:00:00.000Z","14,902","14,902","14,902","14,902","3.67","3.17",""
"2021-06-01T04:00:00.000Z","14,689","14,689","14,689","14,689","-1.43","-1.93",""
"2021-07-01T04:00:00.000Z","14,809","14,809","14,809","14,809","0.8169","0.3127",""
"2021-08-02T04:00:00.000Z","15,031","15,031","15,031","15,031","1.50","0.9949",""
"2021-09-01T04:00:00.000Z","14,540","14,540","14,540","14,540","-3.27","-3.77",""
"2021-10-01T04:00:00.000Z","14,976","14,976","14,976","14,976","3.00","2.49",""
"2021-11-01T04:00:00.000Z","14,308","14,308","14,308","14,308","-4.46","-4.96",""
"2021-12-01T05:00:00.000Z","14,990","14,990","14,990","14,990","4.77","4.26",""
"2022-01-03T05:00:00.000Z","14,419","14,419","14,419","14,419","-3.81","-4.31",""
"2022-02-01T05:00:00.000Z","13,981","13,981","13,981","13,981","-3.04","-3.54",""
